"","p_id","rt","response","Q_num","trial_type","trial_index","order_index","time_elapsed","internal_node_id"
"1","""gso0""","714",NA,"0","""html-button-response""","6","""cff""","23346","""0.0-1.0-5.0"""
"2","""gso0""","1065","1","1","""survey-likert""","7","""cff""","24413","""0.0-1.0-6.0"""
"3","""gso0""","1147","2","2","""survey-likert""","8","""cff""","25562","""0.0-1.0-7.0"""
"4","""gso0""","1015","0","3","""survey-likert""","9","""cff""","26579","""0.0-1.0-8.0"""
"5","""gso0""","948","1","4","""survey-likert""","10","""cff""","27529","""0.0-1.0-9.0"""
"6","""gso0""","931","1","5","""survey-likert""","11","""cff""","28462","""0.0-1.0-10.0"""
"7","""gso0""","1015","2","6","""survey-likert""","12","""cff""","29479","""0.0-1.0-11.0"""
"8","""gso0""","830","1","7","""survey-likert""","13","""cff""","30312","""0.0-1.0-12.0"""
"9","""gso0""","1131","0","8","""survey-likert""","14","""cff""","31445","""0.0-1.0-13.0"""
"10","""gso0""","848","1","9","""survey-likert""","15","""cff""","32295","""0.0-1.0-14.0"""
"11","""gso0""","1114","2","10","""survey-likert""","16","""cff""","33411","""0.0-1.0-15.0"""
"12","""gso0""","1115","0","11","""survey-likert""","17","""cff""","34528","""0.0-1.0-16.0"""
"13","""gso0""","914","1","12","""survey-likert""","18","""cff""","35444","""0.0-1.0-17.0"""
"14","""gso0""","948","1","13","""survey-likert""","19","""cff""","36394","""0.0-1.0-18.0"""
"15","""gso0""","1097","2","14","""survey-likert""","20","""cff""","37494","""0.0-1.0-19.0"""
"16","""gso0""","949","0","15","""survey-likert""","21","""cff""","38445","""0.0-1.0-20.0"""
"17","""gso0""","814","1","16","""survey-likert""","22","""cff""","39261","""0.0-1.0-21.0"""
"18","""gso0""","981","2","17","""survey-likert""","23","""cff""","40244","""0.0-1.0-22.0"""
"19","""gso0""","1014","0","18","""survey-likert""","24","""cff""","41261","""0.0-1.0-23.0"""
"20","""gso0""","798","1","19","""survey-likert""","25","""cff""","42061","""0.0-1.0-24.0"""
"21","""gso0""","2048","2","20","""survey-likert""","26","""cff""","44111","""0.0-1.0-25.0"""
"22","""8v3g""","831",NA,"0","""html-button-response""","6","""crf2""","33810","""0.0-1.0-5.0"""
"23","""8v3g""","1348","1","1","""survey-likert""","7","""crf2""","35161","""0.0-1.0-6.0"""
"24","""8v3g""","1215","0","4","""survey-likert""","8","""crf2""","36378","""0.0-1.0-7.0"""
"25","""8v3g""","1214","2","5","""survey-likert""","9","""crf2""","37594","""0.0-1.0-8.0"""
"26","""8v3g""","864","1","2","""survey-likert""","10","""crf2""","38461","""0.0-1.0-9.0"""
"27","""8v3g""","1148","2","3","""survey-likert""","11","""crf2""","39612","""0.0-1.0-10.0"""
"28","""8v3g""","980","0","9","""survey-likert""","12","""crf2""","40594","""0.0-1.0-11.0"""
"29","""8v3g""","981","1","6","""survey-likert""","13","""crf2""","41577","""0.0-1.0-12.0"""
"30","""8v3g""","1132","2","10","""survey-likert""","14","""crf2""","42711","""0.0-1.0-13.0"""
"31","""8v3g""","864","1","7","""survey-likert""","15","""crf2""","43578","""0.0-1.0-14.0"""
"32","""8v3g""","1281","2","8","""survey-likert""","16","""crf2""","44861","""0.0-1.0-15.0"""
"33","""8v3g""","1081","0","11","""survey-likert""","17","""crf2""","45944","""0.0-1.0-16.0"""
"34","""8v3g""","981","1","15","""survey-likert""","18","""crf2""","46927","""0.0-1.0-17.0"""
"35","""8v3g""","1082","2","12","""survey-likert""","19","""crf2""","48011","""0.0-1.0-18.0"""
"36","""8v3g""","964","1","13","""survey-likert""","20","""crf2""","48978","""0.0-1.0-19.0"""
"37","""8v3g""","1247","2","14","""survey-likert""","21","""crf2""","50228","""0.0-1.0-20.0"""
"38","""8v3g""","1114","1","17","""survey-likert""","22","""crf2""","51344","""0.0-1.0-21.0"""
"39","""8v3g""","1281","2","16","""survey-likert""","23","""crf2""","52628","""0.0-1.0-22.0"""
"40","""8v3g""","1265","1","20","""survey-likert""","24","""crf2""","53895","""0.0-1.0-23.0"""
"41","""8v3g""","1613","0","19","""survey-likert""","25","""crf2""","55511","""0.0-1.0-24.0"""
"42","""8v3g""","1298","2","18","""survey-likert""","26","""crf2""","56811","""0.0-1.0-25.0"""
